player,pos,team,ecr,best,worst
Christian McCaffrey,RB,CAR,1.04,1,3
Dalvin Cook,RB,MIN,2.2,1,6
Alvin Kamara,RB,NO,3.57,2,14
Ezekiel Elliott,RB,DAL,6.52,3,20
Derrick Henry,RB,TEN,6.6,1,22
Davante Adams,WR,GB,6.83,5,15
Saquon Barkley,RB,NYG,8.54,2,52
Tyreek Hill,WR,KC,9.55,5,21
Aaron Jones,RB,GB,10.18,3,28
Stefon Diggs,WR,BUF,10.53,5,64
Austin Ekeler,RB,LAC,12.37,3,330
DeAndre Hopkins,WR,ARI,12.49,5,22
Calvin Ridley,WR,ATL,13.85,5,37
Travis Kelce,TE,KC,16.29,5,26
Jonathan Taylor,RB,IND,17.84,4,47
Nick Chubb,RB,CLE,18.8,3,40
Darren Waller,TE,LV,19.42,14,37
Justin Jefferson,WR,MIN,19.93,11,157
D.K. Metcalf,WR,SEA,20.24,9,43
Keenan Allen,WR,LAC,20.43,12,48
A.J. Brown,WR,TEN,21.64,9,47
Joe Mixon,RB,CIN,21.96,6,51
Antonio Gibson,RB,WAS,22.86,7,83
Allen Robinson II,WR,CHI,24.09,12,36
Patrick Mahomes II,QB,KC,24.78,13,56
George Kittle,TE,SF,26.21,18,46
Terry McLaurin,WR,WAS,27.65,16,37
Najee Harris,RB,PIT,28.08,6,322
Clyde Edwards-Helaire,RB,KC,28.76,6,60
D'Andre Swift,RB,DET,32.96,7,115
Robert Woods,WR,LAR,34.1,15,66
CeeDee Lamb,WR,DAL,34.34,11,96
Amari Cooper,WR,DAL,35.17,21,64
Chris Godwin,WR,TB,35.67,12,65
Chris Carson,RB,SEA,37.72,14,60
Mike Evans,WR,TB,38.07,23,65
Julio Jones,WR,TEN,39.15,11,75
D.J. Moore,WR,CAR,39.99,24,98
David Montgomery,RB,CHI,40.24,22,76
J.K. Dobbins,RB,BAL,40.57,18,84
Cooper Kupp,WR,LAR,41.83,29,88
Diontae Johnson,WR,PIT,42.46,29,81
Miles Sanders,RB,PHI,43.52,22,83
Josh Allen,QB,BUF,43.71,19,61
Tyler Lockett,WR,SEA,46.25,30,88
Adam Thielen,WR,MIN,50.11,30,90
Josh Jacobs,RB,LV,50.79,10,85
Kyler Murray,QB,ARI,51.79,19,68
T.J. Hockenson,TE,DET,51.85,18,133
Lamar Jackson,QB,BAL,53.96,19,77
Myles Gaskin,RB,MIA,54.92,34,321
Mark Andrews,TE,BAL,55.69,26,78
Kenny Golladay,WR,NYG,55.71,21,97
Travis Etienne,RB,JAC,57.47,20,316
Tee Higgins,WR,CIN,57.57,37,214
Darrell Henderson,RB,LAR,57.63,23,148
Dak Prescott,QB,DAL,58.55,19,91
Brandon Aiyuk,WR,SF,59.14,33,151
Kareem Hunt,RB,CLE,60.04,38,104
Mike Davis,RB,ATL,60.08,28,312
JuJu Smith-Schuster,WR,PIT,64.36,36,150
Ja'Marr Chase,WR,CIN,64.39,30,306
Odell Beckham Jr.,WR,CLE,65.26,35,129
Kyle Pitts,TE,ATL,65.41,17,291
Courtland Sutton,WR,DEN,69.3,39,109
Russell Wilson,QB,SEA,70.29,51,117
Chase Edmonds,RB,ARI,71.4,26,120
Robby Anderson,WR,CAR,72.17,43,144
Chase Claypool,WR,PIT,72.87,41,226
D.J. Chark Jr.,WR,JAC,74.19,37,124
Tyler Boyd,WR,CIN,74.35,48,111
Aaron Rodgers,QB,GB,75.07,52,114
Justin Herbert,QB,LAC,77.51,50,117
Jerry Jeudy,WR,DEN,80.08,46,128
Dallas Goedert,TE,PHI,81.98,49,142
Deebo Samuel,WR,SF,82.6,50,160
Brandin Cooks,WR,HOU,83.05,45,172
Noah Fant,TE,DEN,83.28,53,135
Melvin Gordon III,RB,DEN,85.37,40,143
Javonte Williams,RB,DEN,85.7,27,336
Will Fuller V,WR,MIA,86.23,45,240
Raheem Mostert,RB,SF,87.03,47,168
James Robinson,RB,JAC,88.42,42,195
Damien Harris,RB,NE,89.13,52,146
Tom Brady,QB,TB,90.44,60,150
Ryan Tannehill,QB,TEN,91.1,53,128
Jarvis Landry,WR,CLE,92.28,49,124
Ronald Jones II,RB,TB,93.29,54,143
David Johnson,RB,HOU,93.79,40,149
Michael Thomas,WR,NO,94.31,5,223
Michael Carter,RB,NYJ,94.57,50,363
Jalen Hurts,QB,PHI,94.85,56,338
Curtis Samuel,WR,WAS,95.14,48,244
Logan Thomas,TE,WAS,95.55,49,282
DeVonta Smith,WR,PHI,97.68,49,311
Laviska Shenault Jr.,WR,JAC,98.17,49,175
Antonio Brown,WR,TB,98.67,36,301
Leonard Fournette,RB,TB,98.89,57,149
Matthew Stafford,QB,LAR,98.92,59,131
Robert Tonyan,TE,GB,103.78,53,267
Trey Sermon,RB,SF,104.45,40,365
Joe Burrow,QB,CIN,104.69,63,154
Zack Moss,RB,BUF,104.97,66,169
Corey Davis,WR,NYJ,105.74,48,194
James Conner,RB,ARI,105.94,42,222
Kenyan Drake,RB,LV,106.72,23,272
Tyler Higbee,TE,LAR,107.08,63,163
Nyheim Hines,RB,IND,107.86,79,177
Michael Gallup,WR,DAL,109.68,67,203
Mike Williams,WR,LAC,110.33,74,196
DeVante Parker,WR,MIA,111.21,50,194
Mike Gesicki,TE,MIA,112.77,51,173
Matt Ryan,QB,ATL,120.62,64,197
Michael Pittman Jr.,WR,IND,120.84,67,214
Jamaal Williams,RB,DET,121.03,60,191
Marquise Brown,WR,BAL,121.65,73,220
Devin Singletary,RB,BUF,121.73,59,182
Marvin Jones Jr.,WR,JAC,122.8,58,206
Trevor Lawrence,QB,JAC,123.76,65,358
Kirk Cousins,QB,MIN,124.29,61,202
Tony Pollard,RB,DAL,124.86,76,217
Irv Smith Jr.,TE,MIN,126.43,69,260
AJ Dillon,RB,GB,126.83,80,177
Evan Engram,TE,NYG,128.75,53,232
Jaylen Waddle,WR,MIA,129.1,73,317
Jonnu Smith,TE,NE,129.32,53,226
Darnell Mooney,WR,CHI,129.42,62,304
Latavius Murray,RB,NO,130.59,66,185
J.D. McKissic,RB,WAS,132.89,80,261
Tarik Cohen,RB,CHI,134.88,80,245
Gus Edwards,RB,BAL,136.37,85,329
James White,RB,NE,139.06,66,276
Baker Mayfield,QB,CLE,139.65,66,254
Hunter Henry,TE,NE,140.76,53,246
Cole Beasley,WR,BUF,145.54,86,210
T.Y. Hilton,WR,IND,145.77,58,242
Phillip Lindsay,RB,HOU,145.99,89,217
Tua Tagovailoa,QB,MIA,148.3,73,334
Pittsburgh Steelers,DST,PIT,148.46,69,266
Los Angeles Rams,DST,LAR,148.97,72,293
Ryan Fitzpatrick,QB,WAS,149.32,68,320
Daniel Jones,QB,NYG,151.82,71,283
Cole Kmet,TE,CHI,152.65,80,273
Adam Trautman,TE,NO,152.79,92,294
Mecole Hardman,WR,KC,152.99,79,214
Ben Roethlisberger,QB,PIT,153.44,74,202
Sterling Shepard,WR,NYG,153.48,86,329
Russell Gage,WR,ATL,154.27,72,275
Rob Gronkowski,TE,TB,154.48,58,291
Blake Jarwin,TE,DAL,156.14,94,260
Baltimore Ravens,DST,BAL,156.88,70,220
Henry Ruggs III,WR,LV,157.22,74,222
Jalen Reagor,WR,PHI,157.98,101,231
Alexander Mattison,RB,MIN,158.84,106,235
Nelson Agholor,WR,NE,160.75,97,295
Austin Hooper,TE,CLE,164.6,78,259
Elijah Moore,WR,NYJ,165.89,75,378
John Brown,WR,LV,166.29,97,265
Giovani Bernard,RB,TB,166.38,98,316
Jamison Crowder,WR,NYJ,166.49,79,295
Gerald Everett,TE,SEA,166.5,92,273
Rashod Bateman,WR,BAL,166.92,73,369
Derek Carr,QB,LV,167.08,76,275
Tevin Coleman,RB,NYJ,170.04,98,283
Indianapolis Colts,DST,IND,171.28,145,279
Washington Football Team,DST,WAS,171.98,140,279
Justin Tucker,K,BAL,173.25,81,221
San Francisco 49ers,DST,SF,173.56,79,225
Rashaad Penny,RB,SEA,174.01,110,280
Tre'Quan Smith,WR,NO,174.64,78,293
Justin Fields,QB,CHI,176.41,95,387
Tampa Bay Buccaneers,DST,TB,177.14,139,239
Anthony Firkser,TE,TEN,178.67,108,353
Jared Cook,TE,LAC,179.55,106,273
Christian Kirk,WR,ARI,179.96,90,244
Zach Ertz,TE,PHI,182.21,53,299
Harrison Butker,K,KC,183.01,87,276
Sam Darnold,QB,CAR,184.65,114,284
Younghoe Koo,K,ATL,185.05,85,287
Parris Campbell,WR,IND,186.31,88,244
Emmanuel Sanders,WR,BUF,187.67,107,247
Salvon Ahmed,RB,MIA,188.64,119,329
Eric Ebron,TE,PIT,190.12,94,258
Gabriel Davis,WR,BUF,190.4,78,315
New England Patriots,DST,NE,190.88,141,307
Buffalo Bills,DST,BUF,191.02,75,250
Jakobi Meyers,WR,NE,192.8,86,274
New Orleans Saints,DST,NO,193.76,77,322
Marlon Mack,RB,IND,194.36,112,357
Kenneth Gainwell,RB,PHI,194.58,104,365
Rondale Moore,WR,ARI,195.19,101,333
Breshad Perriman,WR,DET,195.55,97,293
Kansas City Chiefs,DST,KC,196.77,159,294
Greg Zuerlein,K,DAL,198.31,92,251
Carson Wentz,QB,IND,199.77,95,364
Darrel Williams,RB,KC,201.76,129,350
Darius Slayton,WR,NYG,201.92,99,345
Sony Michel,RB,NE,203.45,126,356
Trey Lance,QB,SF,205.56,90,359
Allen Lazard,WR,GB,207.63,124,297
A.J. Green,WR,ARI,207.93,55,306
Wil Lutz,K,NO,208.23,86,281
Zach Wilson,QB,NYJ,209.8,80,395
Darrynton Evans,RB,TEN,209.92,134,331
Jared Goff,QB,DET,210,82,315
Jason Sanders,K,MIA,211.48,97,233
Denzel Mims,WR,NYJ,213.87,123,373
Amon-Ra St. Brown,WR,DET,214.8,113,379
Cam Newton,QB,NE,215,67,334
Hayden Hurst,TE,ATL,215.05,92,283
Joshua Kelley,RB,LAC,215.62,142,329
Damien Williams,RB,CHI,217.21,112,359
Chicago Bears,DST,CHI,217.91,78,307
Miami Dolphins,DST,MIA,219.03,145,345
Randall Cobb,WR,GB,219.58,86,339
Jameis Winston,QB,NO,220.47,84,385
Los Angeles Chargers,DST,LAC,220.9,159,347
Bryan Edwards,WR,LV,222.92,99,384
Sammy Watkins,WR,BAL,223.58,90,340
Denver Broncos,DST,DEN,223.93,83,303
Terrace Marshall Jr.,WR,CAR,223.98,113,370
Justin Jackson,RB,LAC,224.15,126,323
Boston Scott,RB,PHI,224.61,100,362
Rodrigo Blankenship,K,IND,225.01,109,309
Chuba Hubbard,RB,CAR,225.4,131,364
Matt Prater,K,ARI,227.04,98,302
Carlos Hyde,RB,JAC,227.92,156,368
Benny Snell Jr.,RB,PIT,228.23,143,366
Xavier Jones,RB,LAR,228.71,113,385
Mark Ingram II,RB,HOU,229.16,52,359
Deshaun Watson,QB,HOU,229.96,61,378
Cleveland Browns,DST,CLE,230.17,89,314
Robbie Gould,K,SF,230.65,96,302
Malcolm Brown,RB,MIA,232.42,120,331
Tyler Bass,K,BUF,232.99,119,332
Marquez Valdes-Scantling,WR,GB,233.77,141,361
Tyrell Williams,WR,DET,236.61,101,377
Jason Myers,K,SEA,236.95,99,302
Josh Reynolds,WR,TEN,237.08,124,315
Marquez Callaway,WR,NO,237.87,137,390
Ryan Succop,K,TB,238,105,288
Dawson Knox,TE,BUF,238.93,142,357
Seattle Seahawks,DST,SEA,239.9,165,303
Anthony Miller,WR,HOU,240.35,101,349
Jeff Wilson Jr.,RB,SF,241.44,126,381
Green Bay Packers,DST,GB,241.58,145,314
Jerick McKinnon,RB,KC,242.24,156,356
O.J. Howard,TE,TB,244.1,139,299
KJ Hamler,WR,DEN,244.35,122,306
Van Jefferson,WR,LAR,245.86,122,346
Michael Badgley,K,LAC,247.2,100,309
Hunter Renfrow,WR,LV,247.2,148,330
Minnesota Vikings,DST,MIN,247.36,201,318
Chris Herndon IV,TE,NYJ,249.54,136,344
Tim Patrick,WR,DEN,250.45,184,372
DeSean Jackson,WR,LAR,251.37,113,370
Taysom Hill,QB,NO,251.5,88,367
Mason Crosby,K,GB,251.91,102,326
Dan Arnold,TE,CAR,251.99,127,340
Kadarius Toney,WR,NYG,253.34,160,375
Devontae Booker,RB,NYG,253.59,144,370
Rhamondre Stevenson,RB,NE,253.81,143,382
Zay Jones,WR,LV,255.5,241,270
Philadelphia Eagles,DST,PHI,255.75,140,320
La'Mical Perine,RB,NYJ,257.74,168,363
Kerryon Johnson,RB,PHI,257.87,119,392
Matt Breida,RB,BUF,258.77,93,384
Samaje Perine,RB,CIN,260.03,134,391
Zane Gonzalez,K,FA,260.33,218,336
James Washington,WR,PIT,260.47,196,359
Javian Hawkins,RB,ATL,260.47,119,337
Amari Rodgers,WR,GB,260.51,159,392
Wayne Gallman,RB,SF,263.26,146,362
Daniel Carlson,K,LV,263.29,114,325
Jack Doyle,TE,IND,264.66,125,360
Qadree Ollison,RB,ATL,265.24,134,388
Preston Williams,WR,MIA,265.4,102,378
Ty Johnson,RB,NYJ,266.88,126,370
Mo Alie-Cox,TE,IND,267.87,143,371
Brandon McManus,K,DEN,268.35,103,292
Jake Elliott,K,PHI,268.61,94,353
Nico Collins,WR,HOU,270.29,131,380
Anthony McFarland Jr.,RB,PIT,270.84,185,375
Tennessee Titans,DST,TEN,271.91,152,318
Ke'Shawn Vaughn,RB,TB,273.47,143,389
Olamide Zaccheaus,WR,ATL,274.22,149,379
Joey Slye,K,CAR,275.21,108,324
Keke Coutee,WR,HOU,275.41,184,370
Lil'Jordan Humphrey,WR,NO,275.5,240,328
Dalton Schultz,TE,DAL,275.63,94,354
Matt Gay,K,LAR,277.09,189,342
Ka'imi Fairbairn,K,HOU,277.21,95,353
Rashard Higgins,WR,CLE,277.32,140,375
Jimmy Graham,TE,CHI,277.7,163,389
Teddy Bridgewater,QB,DEN,279.81,121,364
New York Giants,DST,NYG,280.16,163,347
D'Wayne Eskridge,WR,SEA,280.24,107,381
Kendrick Bourne,WR,NE,280.26,41,382
Chris Boswell,K,PIT,281.82,104,326
N'Keal Harry,WR,NE,282.92,137,383
Keelan Cole Sr.,WR,NYJ,283.18,113,382
Quintez Cephus,WR,DET,283.51,188,364
Jalen Richard,RB,LV,284.36,155,374
Jakeem Grant Sr.,WR,MIA,284.5,212,357
Deonte Harris,WR,NO,284.96,189,389
Dyami Brown,WR,WAS,285.14,160,395
Jordan Akins,TE,HOU,286.11,173,363
Adam Humphries,WR,WAS,287,113,396
Zach Pascal,WR,IND,287.35,195,389
Arizona Cardinals,DST,ARI,287.83,200,337
Larry Rountree III,RB,LAC,288.5,130,389
Dan Bailey,K,FA,288.64,183,327
Demarcus Robinson,WR,KC,288.98,39,396
Kyle Rudolph,TE,NYG,289.26,209,375
New York Jets,DST,NYJ,289.4,90,323
Jimmy Garoppolo,QB,SF,289.58,91,397
Le'Veon Bell,RB,FA,290.37,115,382
Ian Thomas,TE,CAR,290.63,163,388
Albert Wilson,WR,MIA,290.67,257,345
Jake Funk,RB,LAR,291.96,194,388
Todd Gurley II,RB,FA,292.08,120,386
Dustin Hopkins,K,WAS,292.69,117,332
C.J. Uzomah,TE,CIN,293.02,136,378
Golden Tate,WR,FA,293.27,208,380
Elijah Mitchell,RB,SF,293.4,186,387
Josh Lambo,K,JAC,293.47,113,332
Byron Pringle,WR,KC,293.73,163,391
J.J. Arcega-Whiteside,WR,PHI,295.5,242,349
Tyron Johnson,WR,LAC,296.02,114,376
Duke Johnson Jr.,RB,FA,297.65,144,393
Pat Freiermuth,TE,PIT,298.49,180,389
Travis Fulgham,WR,PHI,299.01,155,377
Donovan Peoples-Jones,WR,CLE,299.28,205,371
Rex Burkhead,RB,HOU,299.76,170,387
Jaylen Samuels,RB,PIT,300,237,364
Jordan Howard,RB,PHI,300.49,71,386
Kelvin Harmon,WR,WAS,301,259,361
Stephen Gostkowski,K,FA,301.23,112,342
Donald Parham Jr.,TE,LAC,301.34,127,371
Dallas Cowboys,DST,DAL,301.49,165,340
Kenny Stills,WR,BUF,301.6,210,366
Devin Funchess,WR,GB,302,223,390
Will Dissly,TE,SEA,302.69,171,360
Drew Lock,QB,DEN,302.73,101,385
Graham Gano,K,NYG,302.93,220,339
Patrick Laird,RB,MIA,303,259,347
Ito Smith,RB,FA,303.1,188,383
DeeJay Dallas,RB,SEA,303.51,188,385
Cairo Santos,K,CHI,304.52,215,353
Scotty Miller,WR,TB,304.73,211,384
Tyler Eifert,TE,FA,304.75,236,371
Tyrod Taylor,QB,HOU,305.71,162,389
Austin Seibert,K,CIN,308.19,111,353
Carolina Panthers,DST,CAR,308.23,225,345
Alex Collins,RB,SEA,309.22,188,376
Nick Folk,K,NE,310.88,228,351
Andy Isabella,WR,ARI,311.16,231,395
Cody Parkey,K,CLE,311.66,228,353
Steven Sims Jr.,WR,WAS,311.77,184,376
Noah Gray,TE,KC,312.4,217,374
Trenton Cannon,RB,CAR,312.67,245,362
Kyle Juszczyk,RB,SF,313.13,195,380
Jacksonville Jaguars,DST,JAC,313.21,207,330
Kalen Ballage,RB,PIT,313.62,182,391
Gerrid Doaks,RB,MIA,314.33,190,386
Jeremy McNichols,RB,TEN,314.33,263,351
Chris Evans,RB,CIN,314.36,184,380
DaeSean Hamilton,WR,DEN,314.5,271,358
Sam Sloman,K,PIT,314.7,115,342
Josh Palmer,WR,LAC,314.84,171,391
Greg Ward,WR,PHI,315.21,210,386
Tucker McCann,K,TEN,315.23,221,353
Harrison Bryant,TE,CLE,315.33,214,373
Isaiah McKenzie,WR,BUF,315.8,205,369
Evan McPherson,K,CIN,315.86,220,353
Dez Fitzpatrick,WR,TEN,316.48,210,383
Houston Texans,DST,HOU,316.9,176,355
Randy Bullock,K,DET,316.9,116,353
Kenny Yeboah,TE,NYJ,317.5,267,368
Cornell Powell,WR,KC,317.94,196,378
Greg Joseph,K,MIN,318.13,252,353
Dede Westbrook,WR,MIN,318.6,198,383
Mac Jones,QB,NE,319.2,177,387
Atlanta Falcons,DST,ATL,319.21,201,352
Drew Sample,TE,CIN,319.49,230,374
Tyler Conklin,TE,MIN,319.54,246,391
Lynn Bowden Jr.,WR,MIA,319.55,208,390
Albert Okwuegbunam,TE,DEN,320.06,197,386
Sam Ficken,K,TEN,320.17,271,332
Justice Hill,RB,BAL,320.46,238,374
Mike Boone,RB,DEN,320.61,195,393
Chris Manhertz,TE,JAC,321,291,351
Larry Fitzgerald,WR,FA,321.05,268,386
David Njoku,TE,CLE,321.6,209,394
Bryce Love,RB,FA,321.76,149,380
Jermar Jefferson,RB,DET,322.15,193,386
Jalen Guyton,WR,LAC,322.25,192,393
Maxx Williams,TE,ARI,322.4,191,375
Ameer Abdullah,RB,MIN,322.5,257,388
Jacob Harris,TE,LAR,322.88,216,389
Ryquell Armstead,RB,FA,323.67,320,331
Chris Conley,WR,HOU,323.75,216,392
Danny Amendola,WR,FA,324.27,269,371
Miles Boykin,WR,BAL,324.37,212,386
Eno Benjamin,RB,ARI,324.78,245,380
Tyler Kroft,TE,NYJ,324.78,173,394
Tim Tebow,TE,JAC,324.83,127,354
Jacob Eason,QB,IND,325.21,270,387
Adrian Peterson,RB,FA,325.36,156,383
John Ross,WR,NYG,326.68,206,385
Brian Hill,RB,TEN,327.25,185,393
Aldrick Rosas,K,JAC,328,309,342
Jacob Hollister,TE,BUF,328.28,246,376
Detroit Lions,DST,DET,328.5,93,355
Ihmir Smith-Marsette,WR,MIN,330.14,196,383
JaMycal Hasty,RB,SF,331,235,380
Las Vegas Raiders,DST,LV,331.19,276,355
Jordan Wilkins,RB,IND,331.38,264,382
Devonta Freeman,RB,NO,331.38,264,384
Pooka Williams Jr.,RB,CIN,331.67,310,372
Chris Thompson,RB,FA,332.15,227,383
Mohamed Sanu,WR,SF,332.2,270,389
Kylin Hill,RB,GB,332.3,253,388
Andy Dalton,QB,CHI,332.68,120,396
Dazz Newsome,WR,CHI,333.88,271,384
Chris Naggar,K,NYJ,334,325,353
Sage Surratt,WR,DET,334.5,297,372
Auden Tate,WR,CIN,334.71,242,388
Tyler Johnson,WR,TB,334.9,240,378
Cincinnati Bengals,DST,CIN,334.9,274,355
Devin Duvernay,WR,BAL,334.91,189,390
Tutu Atwell,WR,LAR,335.23,222,395
Darwin Thompson,RB,KC,335.5,277,380
Adam Shaheen,TE,MIA,335.67,312,360
Royce Freeman,RB,DEN,335.87,245,393
Jalen Hurd,WR,SF,335.89,221,387
Alshon Jeffery,WR,FA,336.18,290,370
Alec Ingold,RB,LV,337,310,364
Cordarrelle Patterson,WR,ATL,337.52,262,381
Damiere Byrd,WR,CHI,337.67,229,377
Dare Ogunbowale,RB,JAC,337.77,43,387
Braxton Berrios,WR,NYJ,338.25,223,396
James O'Shaughnessy,TE,JAC,338.79,273,374
Equanimeous St. Brown,WR,GB,338.8,315,354
Marquise Goodwin,WR,CHI,339.75,231,395
Brevin Jordan,TE,HOU,339.84,267,378
Ty Montgomery,RB,NO,340.6,321,365
Dion Lewis,RB,FA,340.67,321,368
Dwayne Haskins,QB,PIT,341.33,254,387
Khalil Herbert,RB,CHI,341.5,237,392
Patrick Ricard,RB,BAL,342,296,368
Trayveon Williams,RB,CIN,342.8,310,368
Antonio Gandy-Golden,WR,WAS,343.14,262,383
Travis Homer,RB,SEA,343.22,235,392
Tajae Sharpe,WR,ATL,343.5,317,370
Cameron Brate,TE,TB,343.52,258,387
Tylan Wallace,WR,BAL,343.52,243,394
Gardner Minshew II,QB,JAC,343.56,158,397
Peyton Barber,RB,WAS,344.02,235,388
Collin Johnson,WR,JAC,344.04,261,389
Hunter Long,TE,MIA,344.23,285,373
Devine Ozigbo,RB,JAC,344.9,217,381
Andrew Jacas,K,SF,346,337,353
Davis Mills,QB,HOU,346.05,275,391
Jordan Love,QB,GB,346.35,237,387
Jaret Patterson,RB,WAS,346.45,193,392
David Moore,WR,CAR,347.15,243,395
Hunter Bryant,TE,DET,348,342,356
Antonio Williams,RB,BUF,348,334,362
C.J. Ham,RB,MIN,349.5,312,387
Tommy Tremble,TE,CAR,350.5,236,371
Jaelon Darden,WR,TB,350.5,340,361
Raymond Calais,RB,LAR,351,185,392
Frank Darby,WR,ATL,352.25,273,383
Darren Fells,TE,DET,352.43,325,381
Willie Snead IV,WR,LV,353.14,261,390
Frank Gore,RB,FA,353.5,330,384
Shi Smith,WR,CAR,353.5,328,379
Demetric Felton,WR,CLE,353.5,347,360
Nick Foles,QB,CHI,356.33,320,382
Cam Sims,WR,WAS,356.73,174,394
Mitchell Trubisky,QB,BUF,356.9,241,397
Nick Vannett,TE,NO,357,305,388
Brycen Hopkins,TE,LAR,357.44,294,381
LeSean McCoy,RB,FA,357.92,322,384
Marquez Stevenson,WR,BUF,359,353,365
Richie James Jr.,WR,SF,359.17,264,396
Anthony Schwartz,WR,CLE,360,301,395
Kene Nwangwu,RB,MIN,360.5,321,382
Freddie Swain,WR,SEA,361,307,384
Ryan Griffin,TE,NYJ,361.2,318,389
Geoff Swaim,TE,TEN,362.63,311,390
Foster Moreau,TE,LV,363.33,331,394
Richard Rodgers,TE,PHI,363.33,236,391
Jace Sternberger,TE,GB,363.8,255,391
T.J. Yeldon,RB,FA,364,349,379
Trey Burton,TE,FA,364.6,344,383
Nick Boyle,TE,BAL,365.17,299,376
D'Onta Foreman,RB,FA,367,365,369
Stevie Scott III,RB,NO,367.4,316,392
Gary Brightwell,RB,NYG,367.6,312,393
Chad Beebe,WR,MIN,368,353,390
Tre' McKitty,TE,LAC,368.5,356,381
Kahale Warring,TE,HOU,368.71,347,381
Kylen Granson,TE,IND,369.33,347,390
Taylor Heinicke,QB,WAS,369.54,298,397
Marcus Mariota,QB,LV,370.86,304,387
Quez Watkins,WR,PHI,373.5,351,396
Ross Dwelley,TE,SF,373.5,354,393
Devin Asiasi,TE,NE,373.5,371,376
Michael Burton,RB,KC,374.5,363,386
Blake Bell,TE,KC,375.67,362,394
Cedrick Wilson,WR,DAL,378.2,315,395
Darrell Daniels,TE,ARI,380.5,371,390
Josh Oliver,TE,BAL,380.86,352,393
Josiah Deguara,TE,GB,381,366,389
