player,pos,ecr
Ja'Marr Chase,WR,1.1
Bijan Robinson,RB,2.93
Justin Jefferson,WR,3.98
CeeDee Lamb,WR,3.98
Jahmyr Gibbs,RB,6.51
Puka Nacua,WR,6.85
Malik Nabers,WR,7.27
Amon-Ra St. Brown,WR,8.93
Saquon Barkley,RB,9.28
Nico Collins,WR,10
Brian Thomas Jr.,WR,10.96
Drake London,WR,13.3
Christian McCaffrey,RB,14.51
De'Von Achane,RB,15.88
Ashton Jeanty,RB,16.24
Brock Bowers,TE,16.59
A.J. Brown,WR,18.01
Ladd McConkey,WR,18.09
Jaxon Smith-Njigba,WR,20.44
Trey McBride,TE,20.45
Derrick Henry,RB,23.01
Garrett Wilson,WR,23.38
Tyreek Hill,WR,24.22
Josh Allen,QB,24.99
Tee Higgins,WR,25.45
Lamar Jackson,QB,25.91
Chase Brown,RB,28.22
Bucky Irving,RB,28.82
Davante Adams,WR,29.82
Josh Jacobs,RB,29.88
Jayden Daniels,QB,31.45
George Kittle,TE,31.94
Jonathan Taylor,RB,33.15
Mike Evans,WR,33.79
Terry McLaurin,WR,35.63
Jalen Hurts,QB,37.46
Kyren Williams,RB,38.57
DJ Moore,WR,38.91
Breece Hall,RB,39.09
Marvin Harrison Jr.,WR,39.21
Alvin Kamara,RB,39.46
Kenneth Walker III,RB,44.51
DK Metcalf,WR,46.05
James Cook,RB,46.82
Courtland Sutton,WR,46.84
Joe Burrow,QB,48.34
DeVonta Smith,WR,48.48
Rashee Rice,WR,50.29
Chuba Hubbard,RB,50.94
Zay Flowers,WR,52.02
James Conner,RB,52.83
Omarion Hampton,RB,52.98
Jaylen Waddle,WR,57.4
Tetairoa McMillan,WR,57.54
Chris Olave,WR,58.74
Xavier Worthy,WR,60.44
Jameson Williams,WR,62.43
Patrick Mahomes II,QB,63.41
D'Andre Swift,RB,65.01
David Montgomery,RB,65.3
George Pickens,WR,66.3
T.J. Hockenson,TE,66.39
Calvin Ridley,WR,67.1
Sam LaPorta,TE,67.35
Baker Mayfield,QB,68.23
Aaron Jones Sr.,RB,68.34
TreVeyon Henderson,RB,69.44
Jerry Jeudy,WR,70.15
Joe Mixon,RB,70.51
Travis Hunter,WR,70.55
RJ Harvey,RB,71.1
Tony Pollard,RB,73.52
Chris Godwin,WR,74.27
Bo Nix,QB,74.52
Isiah Pacheco,RB,75.43
Travis Kelce,TE,75.62
Kaleb Johnson,RB,78.17
Rome Odunze,WR,78.21
Kyler Murray,QB,79.11
Evan Engram,TE,81.5
Jordan Addison,WR,81.82
Jakobi Meyers,WR,82.13
Khalil Shakir,WR,83.68
David Njoku,TE,84.55
Brian Robinson Jr.,RB,85.2
Stefon Diggs,WR,85.74
Jauan Jennings,WR,85.79
Mark Andrews,TE,89.09
Justin Fields,QB,89.84
Jaylen Warren,RB,92.9
Brock Purdy,QB,93.55
Travis Etienne Jr.,RB,94.05
Dak Prescott,QB,94.33
Justin Herbert,QB,96.65
Caleb Williams,QB,96.84
Josh Downs,WR,96.95
Tyrone Tracy Jr.,RB,98.67
Deebo Samuel Sr.,WR,99.67
Jayden Reed,WR,100.16
