name,pos,team,adp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec,rec_yd,rec_td,fumble_lost
Ja'Marr Chase,WR,CIN,1.5,,,,,,105,1500,13,1
Jahmyr Gibbs,RB,DET,2.4,,,,1300,13,55,450,3,1
Bijan Robinson,RB,ATL,3.1,,,,1350,11,62,500,2,1
Justin Jefferson,WR,MIN,4.2,,,,,,100,1450,10,1
Saquon Barkley,RB,PHI,5.0,,,,1500,13,35,280,1,2
CeeDee Lamb,WR,DAL,6.1,,,,,,100,1400,9,1
Malik Nabers,WR,NYG,7.3,,,,,,95,1350,8,1
Ashton Jeanty,RB,LV,8.2,,,,1250,10,45,350,2,2
De'Von Achane,RB,MIA,9.4,,,,950,8,75,600,3,2
Puka Nacua,WR,LAR,10.1,,,,,,100,1300,7,1
Amon-Ra St. Brown,WR,DET,11.2,,,,,,100,1250,9,1
Bucky Irving,RB,TB,12.5,,,,1100,8,50,400,2,2
Derrick Henry,RB,BAL,13.4,,,,1400,14,15,120,0,2
Christian McCaffrey,RB,SF,14.6,,,,1000,8,70,550,3,1
Josh Jacobs,RB,GB,15.1,,,,1150,11,40,300,1,2
Brian Thomas Jr.,WR,JAX,16.3,,,,,,90,1300,8,1
Nico Collins,WR,HOU,17.2,,,,,,85,1250,8,0
James Cook,RB,BUF,18.4,,,,1050,12,35,260,1,1
Drake London,WR,ATL,19.1,,,,,,90,1250,8,1
Jonathan Taylor,RB,IND,20.5,,,,1250,11,25,180,1,2
Brock Bowers,TE,LV,21.2,,,,,,95,1150,7,0
Omarion Hampton,RB,LAC,22.4,,,,1050,8,40,300,1,2
Trey McBride,TE,ARI,23.1,,,,,,90,1000,6,0
A.J. Brown,WR,PHI,24.3,,,,,,80,1200,8,0
Jaxon Smith-Njigba,WR,SEA,25.2,,,,,,90,1200,7,1
Chase Brown,RB,CIN,26.5,,,,900,8,55,420,2,2
Ladd McConkey,WR,LAC,27.1,,,,,,85,1150,6,0
Kyren Williams,RB,LAR,28.3,,,,1000,10,35,250,1,2
Tee Higgins,WR,CIN,29.4,,,,,,75,1100,8,0
TreVeyon Henderson,RB,NE,30.2,,,,850,7,45,350,2,1
Garrett Wilson,WR,NYJ,31.5,,,,,,88,1150,6,1
Josh Allen,QB,BUF,32.1,4000,32,9,550,9,,,,3
Tetairoa McMillan,WR,CAR,33.4,,,,,,80,1100,6,1
Lamar Jackson,QB,BAL,34.2,3900,34,6,700,5,,,,3
Kenneth Walker III,RB,SEA,35.6,,,,900,7,40,300,1,2
Rashee Rice,WR,KC,36.1,,,,,,85,1050,8,0
George Kittle,TE,SF,37.3,,,,,,70,900,7,0
Marvin Harrison Jr.,WR,ARI,38.2,,,,,,78,1100,7,0
Jayden Daniels,QB,WAS,39.4,3800,28,8,800,7,,,,4
Breece Hall,RB,NYJ,40.1,,,,800,6,50,380,2,2
Xavier Worthy,WR,KC,41.3,,,,,,80,1050,6,1
Rome Odunze,WR,CHI,42.2,,,,,,78,1050,7,0
Terry McLaurin,WR,WAS,44.1,,,,,,75,1050,7,0
Quinshon Judkins,RB,CLE,45.3,,,,850,7,30,220,1,2
Joe Burrow,QB,CIN,46.2,4600,38,9,150,2,,,,4
Davante Adams,WR,LAR,48.4,,,,,,72,980,8,0
Sam LaPorta,TE,DET,50.1,,,,,,65,750,6,0
Jalen Hurts,QB,PHI,51.3,3500,24,8,600,12,,,,4
DK Metcalf,WR,PIT,52.2,,,,,,68,1000,7,0
RJ Harvey,RB,DEN,55.4,,,,700,6,40,300,2,1
Tyler Warren,TE,IND,56.1,,,,,,68,780,5,0
Patrick Mahomes,QB,KC,57.3,4200,30,10,350,3,,,,3
Jameson Williams,WR,DET,58.2,,,,,,65,1000,6,1
Tony Pollard,RB,TEN,60.1,,,,800,5,40,300,1,2
Courtland Sutton,WR,DEN,62.4,,,,,,68,950,6,0
David Montgomery,RB,DET,65.2,,,,750,9,25,180,1,1
Emeka Egbuka,WR,TB,66.3,,,,,,70,920,6,1
Jordan Addison,WR,MIN,68.1,,,,,,68,930,6,0
Isiah Pacheco,RB,KC,70.4,,,,750,6,30,220,1,2
Drake Maye,QB,NE,71.2,3900,27,10,350,4,,,,4
Chris Olave,WR,NO,72.3,,,,,,72,900,5,1
Travis Hunter,WR,JAX,74.1,,,,,,65,900,6,0
Aaron Jones,RB,MIN,75.5,,,,700,5,45,330,1,2
Colston Loveland,TE,CHI,76.2,,,,,,60,700,5,0
Jerry Jeudy,WR,CLE,78.3,,,,,,65,900,5,1
Bo Nix,QB,DEN,79.1,3700,26,10,450,5,,,,4
Ricky Pearsall,WR,SF,80.4,,,,,,65,880,5,0
Matthew Golden,WR,GB,82.2,,,,,,60,850,6,0
Caleb Williams,QB,CHI,83.3,3800,26,10,400,4,,,,5
David Njoku,TE,CLE,84.1,,,,,,62,680,5,0
Travis Etienne,RB,JAX,85.4,,,,650,4,35,260,1,2
C.J. Stroud,QB,HOU,87.2,4100,28,10,250,3,,,,4
Khalil Shakir,WR,BUF,88.3,,,,,,72,820,4,1
Justin Herbert,QB,LAC,89.1,4000,27,9,250,3,,,,4
Mark Andrews,TE,BAL,90.4,,,,,,58,650,7,0
Tyrone Tracy Jr.,RB,NYG,90.6,,,,700,5,35,250,1,2
Jayden Reed,WR,GB,92.2,,,,,,62,850,5,1
Baker Mayfield,QB,TB,93.3,3900,29,12,300,4,,,,5
Evan Engram,TE,DEN,94.1,,,,,,65,700,4,0
Cam Skattebo,RB,NYG,95.4,,,,650,7,30,220,1,2
Chris Godwin,WR,TB,96.2,,,,,,68,820,4,1
Michael Pittman Jr.,WR,IND,98.3,,,,,,70,850,4,1
Jaylen Warren,RB,PIT,100.1,,,,620,4,40,300,1,1
T.J. Hockenson,TE,MIN,100.5,,,,,,62,700,4,0
Calvin Ridley,WR,TEN,102.2,,,,,,62,880,5,0
Kyler Murray,QB,ARI,104.3,3700,25,11,450,4,,,,4
Trey Benson,RB,ARI,105.1,,,,620,5,25,180,1,1
Dallas Goedert,TE,PHI,106.4,,,,,,55,620,5,0
Zach Charbonnet,RB,SEA,108.2,,,,600,6,30,220,1,1
Dak Prescott,QB,DAL,108.6,4200,29,10,150,2,,,,4
Rhamondre Stevenson,RB,NE,110.3,,,,600,4,35,260,1,2
Keon Coleman,WR,BUF,112.1,,,,,,55,800,6,0
Jake Ferguson,TE,DAL,114.4,,,,,,58,600,4,0
Brock Purdy,QB,SF,116.2,4000,26,10,200,2,,,,4
Jakobi Meyers,WR,LV,118.3,,,,,,68,800,4,1
Bhayshul Tuten,RB,JAX,120.1,,,,580,4,25,190,1,1
Deebo Samuel,WR,WAS,122.4,,,,150,2,60,700,3,2
Jared Goff,QB,DET,124.2,4100,29,9,80,1,,,,3
Jordan Mason,RB,MIN,125.3,,,,600,5,20,150,0,1
Isaiah Likely,TE,BAL,126.1,,,,,,50,580,5,0
Josh Downs,WR,IND,128.4,,,,,,65,750,4,0
Tank Bigsby,RB,PHI,130.2,,,,550,5,15,110,0,1
Hunter Henry,TE,NE,132.3,,,,,,52,560,4,0
Blake Corum,RB,LAR,135.1,,,,520,4,25,180,1,1
Braelon Allen,RB,NYJ,138.4,,,,540,5,25,180,1,1
Brandon Aubrey,K,DAL,140.1,,,,,,,,,
Ravens,DEF,BAL,142.3,,,,,,,,,
Broncos,DEF,DEN,145.1,,,,,,,,,
Cameron Dicker,K,LAC,148.2,,,,,,,,,
Eagles,DEF,PHI,150.4,,,,,,,,,
Chris Boswell,K,PIT,152.1,,,,,,,,,
Texans,DEF,HOU,155.3,,,,,,,,,
Jake Bates,K,DET,158.2,,,,,,,,,
