name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Ja'Marr Chase,WR,CIN,1.7,296.1,296.1,283.5,1.06,1,4,6,NA
Puka Nacua,WR,LAR,3.1,283.5,296.1,254.7,1.22,1,7,11,NA
Jahmyr Gibbs,RB,DET,3.3,322.8,322.8,316.4,1.7,1,7,6,NA
Bijan Robinson,RB,ATL,3.4,316.4,322.8,316.4,1.53,1,7,11,NA
Jaxon Smith-Njigba,WR,SEA,4.4,274.8,296.1,239.5,1.31,1,9,11,NA
Amon-Ra St. Brown,WR,DET,6.1,254.7,283.5,239.5,1.38,4,9,6,NA
Christian McCaffrey,RB,SF,8.5,306.8,322.8,244.1,3.74,2,24,8,NA
CeeDee Lamb,WR,DAL,8.5,239.5,274.8,220.3,1.49,6,12,14,NA
Justin Jefferson,WR,MIN,9.1,228.5,283.5,200.9,2.2,4,20,6,NA
Drake London,WR,ATL,11.9,220.3,254.7,200.9,2.59,8,20,11,NA
Jonathan Taylor,RB,IND,12.6,288.4,316.4,222.5,5.34,5,31,13,NA
A.J. Brown,WR,NE,15.3,213.1,254.7,177.4,5.46,8,38,11,NA
Nico Collins,WR,HOU,16.1,207.3,220.3,196.8,3.69,12,28,8,NA
Ashton Jeanty,RB,LV,16.6,277.2,316.4,222.5,6.04,7,33,13,NA
Trey McBride,TE,ARI,18.4,190.0,190.0,184.6,5.06,15,32,14,NA
George Pickens,WR,DAL,18.6,203.3,239.5,183.2,4.48,9,36,14,NA
James Cook III,RB,BUF,19.0,265.2,316.4,222.5,6.51,7,34,7,NA
Chase Brown,RB,CIN,19.1,252.3,306.8,214.2,5.8,10,39,6,NA
Rashee Rice,WR,KC,19.6,200.9,254.7,173.4,8.54,8,48,5,NA
Brock Bowers,TE,LV,20.8,184.6,190.0,184.6,3.01,11,32,13,NA
Chris Olave,WR,NO,21.1,199.4,228.5,177.4,6.37,11,38,8,NA
De'Von Achane,RB,MIA,21.1,244.1,316.4,222.5,6.53,7,34,6,NA
Omarion Hampton,RB,LAC,24.3,236.2,306.8,198.6,7.72,10,47,7,NA
DeVonta Smith,WR,PHI,24.8,196.8,220.3,174.7,7.82,12,44,10,NA
Saquon Barkley,RB,PHI,25.5,228.6,306.8,210.1,6.99,10,41,10,NA
Josh Allen,QB,BUF,25.7,380.9,380.9,374.9,2.07,21,34,7,NA
Zay Flowers,WR,BAL,29.4,193.8,220.3,173.4,8.65,12,48,13,NA
Garrett Wilson,WR,NYJ,30.3,190.4,220.3,169.7,7.09,15,52,13,NA
Kenneth Walker III,RB,KC,30.6,222.5,288.4,193.6,7.39,14,53,5,NA
Lamar Jackson,QB,BAL,32.3,374.9,380.9,328.2,8.91,25,63,13,NA
Tetairoa McMillan,WR,CAR,32.5,187.0,220.3,171.9,8.37,15,49,5,NA
Tee Higgins,WR,CIN,34.0,183.2,203.3,171.9,7.53,19,49,6,NA
Ladd McConkey,WR,LAC,36.6,180.5,220.3,169.7,7.91,15,51,7,NA
Malik Nabers,WR,NYG,37.3,178.8,228.5,158.8,13.9,11,71,8,NA
Emeka Egbuka,WR,TB,37.5,177.4,220.3,169.7,8.82,14,52,10,NA
Colston Loveland,TE,CHI,37.6,179.8,184.6,143.9,14.25,22,85,10,NA
Jeremiyah Love,RB,ARI,38.0,217.9,244.1,181.7,7.57,24,61,14,NA
Drake Maye,QB,NE,38.3,367.8,380.9,317.5,11.8,26,70,11,NA
Jaylen Waddle,WR,DEN,38.5,176.1,207.3,160.5,8.32,18,62,10,NA
Derrick Henry,RB,BAL,38.6,214.2,306.8,193.6,7.9,10,53,13,NA
Breece Hall,RB,NYJ,40.7,210.1,222.5,170.7,5.62,31,67,13,NA
Kyren Williams,RB,LAR,42.2,206.7,244.1,193.6,6.94,23,53,11,NA
Terry McLaurin,WR,WAS,42.7,174.7,196.8,160.5,6.45,28,62,7,NA
Joe Burrow,QB,CIN,43.5,350.9,380.9,280.6,13.64,27,98,6,NA
Josh Jacobs,RB,GB,44.2,202.8,244.1,170.7,7.66,24,65,11,NA
Javonte Williams,RB,DAL,46.0,198.6,236.2,181.7,6.84,25,60,14,NA
Luther Burden III,WR,CHI,47.0,173.4,183.2,158.8,7.05,35,69,10,NA
Davante Adams,WR,LAR,48.2,171.9,183.2,160.5,5.53,36,62,11,NA
Mike Evans,WR,SF,49.3,169.7,196.8,142.0,8.43,28,81,8,NA
Travis Etienne Jr.,RB,NO,49.9,193.6,244.1,166.8,8.01,24,75,8,NA
Jayden Daniels,QB,WAS,51.8,339.6,380.9,296.2,15.08,30,92,7,NA
Cam Skattebo,RB,NYG,53.6,189.6,222.5,166.8,8.51,36,75,8,NA
Tyler Warren,TE,IND,54.5,166.6,184.6,166.6,9.73,22,73,13,NA
Jameson Williams,WR,DET,54.7,167.1,176.1,129.9,7.58,42,91,6,NA
DJ Moore,WR,BUF,55.2,164.8,203.3,122.8,13.76,19,100,7,NA
Christian Watson,WR,GB,56.8,162.6,176.1,127.5,11.1,42,96,11,NA
Jalen Hurts,QB,PHI,58.4,328.2,380.9,302.6,10.68,30,79,10,NA
Rome Odunze,WR,CHI,59.5,160.5,176.1,129.9,10.19,42,94,10,NA
Bucky Irving,RB,TB,59.6,185.3,222.5,157.3,9.83,35,80,10,NA
Quinshon Judkins,RB,CLE,59.7,181.7,222.5,157.3,8.53,37,78,11,NA
D'Andre Swift,RB,CHI,61.1,178.6,202.8,157.3,7.73,46,78,10,NA
David Montgomery,RB,HOU,63.4,174.8,202.8,110.9,12.56,45,122,8,NA
TreVeyon Henderson,RB,NE,63.4,170.7,214.2,134.7,10.84,39,99,11,NA
Carnell Tate,WR,TEN,64.3,158.8,176.1,78.0,23.31,42,205,9,NA
Caleb Williams,QB,CHI,68.9,317.5,380.9,272.0,13.53,29,101,10,NA
Justin Herbert,QB,LAC,70.1,309.0,374.9,255.0,12.84,37,108,7,NA
Marvin Harrison Jr.,WR,ARI,71.4,157.5,174.7,115.1,14.45,45,116,14,NA
Bhayshul Tuten,RB,JAC,72.4,166.8,198.6,105.7,14.42,47,127,7,NA
Jaylen Warren,RB,PIT,75.1,162.4,181.7,134.7,5.97,61,93,9,NA
Tucker Kraft,TE,GB,75.3,160.0,179.8,138.3,11.99,54,106,11,NA
Harold Fannin Jr.,TE,CLE,75.5,154.4,166.6,128.2,11.48,57,112,11,NA
Trevor Lawrence,QB,JAC,77.7,302.6,339.6,272.0,11.81,58,101,7,NA
Jadarian Price,RB,SEA,77.9,157.3,202.8,113.4,10.22,46,117,11,NA
Alec Pierce,WR,IND,78.9,155.9,169.7,115.1,15.97,51,116,13,NA
Dak Prescott,QB,DAL,79.1,296.2,328.2,255.0,12.15,59,105,14,NA
DK Metcalf,WR,PIT,79.2,154.0,169.7,119.0,13.37,51,109,9,NA
Chris Godwin Jr.,WR,TB,80.1,151.2,174.7,119.0,12.64,44,110,10,NA
Brian Thomas Jr.,WR,JAC,80.2,148.5,169.7,115.1,14.62,51,115,7,NA
Courtland Sutton,WR,DEN,80.4,145.3,171.9,119.0,12.88,49,107,10,NA
Kyle Pitts Sr.,TE,ATL,80.5,149.0,166.6,138.3,9.72,63,106,11,NA
Parker Washington,WR,JAC,81.0,142.0,173.4,105.3,16.59,48,133,7,NA
Rhamondre Stevenson,RB,NE,82.4,153.4,170.7,113.4,9.96,65,118,11,NA
Michael Pittman Jr.,WR,PIT,82.8,138.9,167.1,115.1,12.36,55,114,9,NA
Tony Pollard,RB,TEN,83.8,149.2,181.7,113.4,10.35,61,117,9,NA
Sam LaPorta,TE,DET,84.9,143.9,166.6,138.3,11,57,106,6,NA
Chuba Hubbard,RB,CAR,86.1,144.5,170.7,105.7,13.35,65,130,5,NA
Wan'Dale Robinson,WR,TEN,87.5,135.9,174.7,109.3,15.42,45,128,9,NA
Michael Wilson,WR,ARI,87.6,132.8,169.7,109.3,14.12,53,126,14,NA
Jordyn Tyson,WR,NO,87.6,129.9,160.5,60.6,30.76,60,241,8,NA
Rico Dowdle,RB,PIT,87.9,139.8,170.7,113.4,10.89,67,120,9,NA
RJ Harvey,RB,DEN,92.8,134.7,193.6,92.7,20.29,53,145,10,NA
Jaxson Dart,QB,NYG,92.9,288.5,328.2,241.4,12.52,63,114,8,NA
Brock Purdy,QB,SF,93.7,280.6,317.5,255.0,9.1,70,108,8,NA
Josh Downs,WR,IND,94.2,127.5,169.7,101.0,18.43,51,150,13,NA
Jakobi Meyers,WR,JAC,96.5,125.0,158.8,105.3,14.63,68,136,7,NA
Quentin Johnston,WR,LAC,99.8,122.8,160.5,111.1,13.66,62,123,7,NA
Kenny Gainwell,RB,TB,99.9,129.9,166.8,88.0,17.26,75,146,10,NA
Travis Kelce,TE,KC,100.3,138.3,166.6,108.9,14.92,73,144,5,NA
Patrick Mahomes II,QB,KC,100.4,272.0,328.2,241.4,10.18,63,114,5,NA
Makai Lemon,WR,PHI,100.9,120.9,160.5,66.0,26.95,64,232,10,NA
Kyle Monangai,RB,CHI,101.7,125.7,157.3,99.3,11.87,80,141,10,NA
Bo Nix,QB,DEN,101.9,263.6,317.5,232.9,8.21,70,119,10,NA
J.K. Dobbins,RB,DEN,102.8,121.7,166.8,92.7,15.05,75,145,10,NA
Matthew Stafford,QB,LAR,103.8,255.0,328.2,214.3,12.08,63,125,11,NA
Jordan Addison,WR,MIN,106.2,119.0,142.0,109.3,11.35,81,125,6,NA
George Kittle,TE,SF,107.1,133.3,184.6,102.3,20.36,32,155,8,NA
Rachaad White,RB,WAS,107.9,118.5,170.7,86.6,16.48,67,148,7,NA
Jake Ferguson,TE,DAL,108.0,128.2,166.6,108.9,14.28,73,138,14,NA
Jared Goff,QB,DET,108.2,248.2,328.2,214.3,12.29,59,125,6,NA
Blake Corum,RB,LAR,108.6,116.3,149.2,102.7,12.05,84,135,11,NA
Aaron Jones Sr.,RB,MIN,111.6,113.4,162.4,102.7,13.46,77,136,6,NA
Jayden Reed,WR,GB,112.0,117.1,142.0,102.6,14.18,81,142,11,NA
Kyler Murray,QB,MIN,112.2,241.4,309.0,203.6,12.53,74,139,6,NA
Ricky Pearsall,WR,SF,112.6,115.1,158.8,11.4,44.54,67,368,8,NA
Dalton Kincaid,TE,BUF,112.8,122.7,143.9,102.3,13.87,95,158,7,NA
Baker Mayfield,QB,TB,118.7,232.9,272.0,203.6,8.44,101,139,10,NA
Jordan Love,QB,GB,119.6,224.2,255.0,203.6,7.54,104,139,11,NA
Dallas Goedert,TE,PHI,120.2,117.2,143.9,102.3,16.54,95,158,10,NA
Tyler Shough,QB,NO,120.6,214.3,255.0,158.3,11.55,104,170,8,NA
Khalil Shakir,WR,BUF,120.9,113.1,129.9,95.2,14.48,88,165,7,NA
Jayden Higgins,WR,HOU,121.0,111.1,127.5,102.6,10.76,96,148,8,NA
Isaiah Likely,TE,NYG,121.1,112.8,143.9,83.0,27.71,87,236,8,NA
Jonathon Brooks,RB,CAR,121.3,110.9,162.4,0.0,43.41,77,361,5,NA
Xavier Worthy,WR,KC,124.2,109.3,142.0,102.6,11.61,81,149,5,NA
Jacory Croskey-Merritt,RB,WAS,125.4,108.5,134.7,82.4,10.63,93,152,7,NA
Jordan Mason,RB,MIN,126.6,105.7,134.7,80.1,11.85,98,160,6,NA
Mark Andrews,TE,BAL,128.2,108.9,143.9,91.8,21.42,95,203,13,NA
Jalen Coker,WR,CAR,129.8,107.2,119.0,93.6,13.06,107,166,5,NA
Romeo Doubs,WR,NE,130.8,105.3,129.9,89.7,16.59,91,174,11,NA
Malik Willis,QB,MIA,133.2,203.6,248.2,136.7,25.29,111,236,6,NA
Tyrone Tracy Jr.,RB,NYG,134.2,102.7,116.3,80.1,10.21,109,162,8,NA
KC Concepcion,WR,CLE,136.2,103.9,138.9,32.0,39.57,83,302,11,NA
Woody Marks,RB,HOU,138.9,99.3,149.2,48.5,20.9,84,228,8,NA
Matthew Golden,WR,GB,139.3,102.6,129.9,81.1,20.37,93,197,11,NA
C.J. Stroud,QB,HOU,140.8,192.4,241.4,158.3,13.31,113,188,8,NA
Sam Darnold,QB,SEA,140.8,183.5,214.3,158.3,11.58,125,190,11,NA
Tyler Allgeier,RB,ARI,143.3,95.9,125.7,48.5,18.52,102,228,14,NA
Tyjae Spears,RB,TEN,144.3,92.7,116.3,67.9,15.2,110,189,9,NA
Chris Rodriguez Jr.,RB,JAC,145.4,90.0,134.7,47.6,25.27,93,238,7,NA
Alvin Kamara,RB,NO,145.7,88.0,113.4,70.6,13.57,117,182,8,NA
Dylan Sampson,RB,CLE,146.2,86.6,110.9,67.9,12.04,122,189,11,NA
Juwan Johnson,TE,NO,146.9,105.3,128.2,91.8,21.34,111,196,8,NA
Zach Charbonnet,RB,SEA,148.4,84.8,157.3,30.8,32.05,80,268,11,NA
Rashid Shaheed,WR,SEA,149.9,101.0,111.1,79.7,14.42,123,199,11,NA
Isiah Pacheco,RB,DET,151.1,82.4,113.4,67.9,12.52,120,189,6,NA
Cam Ward,QB,TEN,151.5,174.0,214.3,136.7,20.42,125,246,9,NA
Brenton Strange,TE,JAC,152.1,102.3,128.2,83.0,22.64,111,236,7,NA
Houston Texans,DST,HOU,153.6,119.5,119.5,119.5,6.08,147,183,8,NA
Jauan Jennings,WR,MIN,154.1,99.7,129.9,43.2,30.18,94,276,6,NA
Jerry Jeudy,WR,CLE,156.9,98.4,115.1,69.4,20.17,115,219,11,NA
Denzel Boston,WR,CLE,158.7,96.8,115.1,26.8,36.35,115,309,11,NA
Daniel Jones,QB,IND,159.0,166.6,214.3,125.1,30.47,129,276,13,NA
Keaton Mitchell,RB,LAC,159.2,80.1,113.4,34.7,26.81,118,260,7,NA
Chig Okonkwo,TE,WAS,159.3,100.0,143.9,66.7,38.25,95,261,7,NA
Jonah Coleman,RB,DEN,162.0,77.7,113.4,3.6,31.91,120,320,10,NA
Denver Broncos,DST,DEN,162.4,119.0,119.0,119.0,5.61,151,183,10,NA
Omar Cooper Jr.,WR,NYJ,163.8,95.2,109.3,31.5,34.93,126,304,13,NA
Hunter Henry,TE,NE,163.9,98.0,138.3,83.0,23.25,106,228,11,NA
Adonai Mitchell,WR,NYJ,165.0,93.6,103.9,68.4,20.53,137,225,13,NA
Bryce Young,QB,CAR,165.5,158.3,214.3,125.1,24.58,129,276,5,NA
Seattle Seahawks,DST,SEA,166.8,118.5,118.5,118.5,4.26,151,185,11,NA
Stefon Diggs,WR,FA,167.9,92.1,138.9,11.4,52.27,83,363,NA,NA
Los Angeles Rams,DST,LAR,168.9,118.0,118.0,118.0,6.42,150,186,11,NA
Oronde Gadsden II,TE,LAC,169.1,96.0,143.9,83.0,36.6,97,236,7,NA
Brian Robinson Jr.,RB,ATL,170.3,75.2,99.3,47.6,18.79,141,238,11,NA
Jalen McMillan,WR,TB,170.4,90.8,105.3,41.0,28.45,135,291,10,NA
Tank Bigsby,RB,PHI,173.4,72.6,99.3,40.6,24.82,142,247,10,NA
Travis Hunter,WR,JAC,173.6,89.7,129.9,43.2,35.45,94,277,7,NA
Philadelphia Eagles,DST,PHI,174.0,117.5,117.5,117.5,8.95,161,235,10,NA
Tre Tucker,WR,LV,175.7,88.4,115.1,41.0,29.84,120,291,13,NA
Braelon Allen,RB,NYJ,176.5,70.6,110.9,7.4,33.65,122,313,13,NA
Dalton Schultz,TE,HOU,179.1,93.8,128.2,83.0,22.85,112,226,8,NA
Tre' Harris,WR,LAC,180.0,87.2,105.3,33.6,29.99,136,298,7,NA
James Conner,RB,ARI,182.7,67.9,121.7,3.8,43.57,103,318,14,NA
Minnesota Vikings,DST,MIN,185.0,117.0,117.0,117.0,8.8,171,235,6,NA
New England Patriots,DST,NE,186.2,116.5,116.5,116.5,12.23,167,279,11,NA
Ryan Flournoy,WR,DAL,186.7,86.0,102.6,25.0,26.37,148,316,14,NA
Brandon Aubrey,K,DAL,186.9,129.5,129.5,129.5,1.78,179,193,14,NA
Deebo Samuel Sr.,WR,SF,187.0,84.4,157.5,10.4,54.34,76,395,8,NA
Jacksonville Jaguars,DST,JAC,187.1,116.0,116.0,116.0,7.42,171,235,7,NA
Pittsburgh Steelers,DST,PIT,187.6,115.5,115.5,115.5,4.25,171,194,9,NA
T.J. Hockenson,TE,MIN,188.2,91.8,108.9,70.9,19.62,138,246,6,NA
Troy Franklin,WR,DEN,191.4,83.1,109.3,31.5,37.35,128,303,10,NA
Ka'imi Fairbairn,K,HOU,192.0,129.0,129.0,129.0,2.07,183,200,8,NA
Jaylin Noel,WR,HOU,192.6,82.1,102.6,41.9,27.34,140,284,8,NA
Kayshon Boutte,WR,NE,193.1,81.1,103.9,44.8,28.93,137,270,11,NA
Jacoby Brissett,QB,ARI,193.9,150.9,214.3,119.2,39.6,129,285,14,NA
Los Angeles Chargers,DST,LAC,194.4,115.0,115.0,115.0,17.06,173,279,7,NA
Emmett Johnson,RB,KC,194.6,65.3,86.6,4.7,37.64,148,317,5,NA
Cameron Dicker,K,LAC,195.2,128.5,128.5,128.5,7.6,187,253,7,NA
Kimani Vidal,RB,LAC,195.6,62.8,82.4,23.1,33.97,152,283,7,NA
Antonio Williams,WR,WAS,197.7,80.2,115.1,25.0,47.18,116,318,7,NA
Isaac TeSlaa,WR,DET,198.5,79.7,101.0,39.8,24.73,150,293,6,NA
Cam Little,K,JAC,198.7,128.0,128.0,128.0,11.32,184,282,7,NA
Green Bay Packers,DST,GB,199.6,114.5,114.5,114.5,20.3,181,280,11,NA
Jason Myers,K,SEA,200.8,127.5,127.5,127.5,7.71,190,253,11,NA
Calvin Ridley,WR,TEN,202.7,79.0,103.9,36.1,31.58,137,296,9,NA
Ray Davis,RB,BUF,203.5,60.1,88.0,0.8,35.54,146,331,7,NA
Baltimore Ravens,DST,BAL,203.7,114.0,114.0,114.0,22.29,161,280,13,NA
Jalen Nailor,WR,LV,204.1,78.0,119.0,26.8,48.8,110,309,13,NA
Mike Washington Jr.,RB,LV,206.4,57.0,99.3,3.8,35.27,143,319,13,NA
Sean Tucker,RB,TB,206.9,54.7,88.0,0.0,37.53,146,352,10,NA
Darnell Mooney,WR,NYG,207.0,77.0,101.0,47.6,20.87,154,266,8,NA
Tyler Loop,K,BAL,207.4,127.0,127.0,127.0,8.08,187,250,13,NA
Eddy Pineiro,K,SF,207.6,126.5,126.5,126.5,6.65,197,250,8,NA
Emanuel Wilson,RB,SEA,208.6,52.1,92.7,11.2,37.97,145,305,11,NA
Pat Bryant,WR,DEN,208.7,75.5,89.7,42.5,26.23,174,281,10,NA
AJ Barner,TE,SEA,209.6,90.2,108.9,70.9,23.79,144,252,11,NA
Greg Dulcich,TE,MIA,211.1,88.3,108.9,56.2,41.96,131,291,6,NA
Kansas City Chiefs,DST,KC,213.1,113.5,113.5,113.5,15,175,279,5,NA
Dontayvion Wicks,WR,PHI,213.2,74.0,102.6,41.0,26.27,149,291,10,NA
