name,pos,team,adp,points,ceiling,floor,ecr_sd,ecr_best,ecr_worst,bye,yahoo_id
Ja'Marr Chase,WR,CIN,1.7,296.1,296.1,283.5,0.96,1,4,6,NA
Jahmyr Gibbs,RB,DET,3.0,322.8,322.8,316.4,1.65,1,7,6,NA
Puka Nacua,WR,LAR,3.2,283.5,296.1,239.5,1.4,1,9,11,NA
Bijan Robinson,RB,ATL,3.5,316.4,322.8,316.4,1.6,1,7,11,NA
Jaxon Smith-Njigba,WR,SEA,4.7,274.8,296.1,239.5,1.37,1,9,11,NA
Amon-Ra St. Brown,WR,DET,5.6,254.7,283.5,239.5,1.23,4,9,6,NA
CeeDee Lamb,WR,DAL,8.7,239.5,254.7,213.1,1.63,6,16,14,NA
Christian McCaffrey,RB,SF,9.3,306.8,322.8,222.5,5.12,2,31,8,NA
Justin Jefferson,WR,MIN,9.6,228.5,274.8,203.3,2.63,5,20,6,NA
Jonathan Taylor,RB,IND,11.8,288.4,316.4,222.5,5.03,6,33,13,NA
Drake London,WR,ATL,12.3,220.3,254.7,196.8,3.39,8,26,11,NA
A.J. Brown,WR,NE,14.7,213.1,254.7,180.5,5.48,6,35,11,NA
Nico Collins,WR,HOU,16.4,207.3,228.5,178.8,4.14,11,36,8,NA
Ashton Jeanty,RB,LV,17.1,277.2,316.4,214.2,5.84,7,39,13,NA
Chase Brown,RB,CIN,17.9,265.2,316.4,222.5,6.26,7,34,6,NA
James Cook III,RB,BUF,18.3,252.3,316.4,222.5,7.01,7,33,7,NA
Trey McBride,TE,ARI,19.5,190.0,190.0,184.6,5.73,15,33,14,NA
George Pickens,WR,DAL,19.9,203.3,228.5,171.9,6.22,12,51,14,NA
Brock Bowers,TE,LV,20.4,184.6,190.0,184.6,3.47,11,32,13,NA
Chris Olave,WR,NO,20.6,200.9,228.5,171.9,7.04,11,51,8,NA
De'Von Achane,RB,MIA,20.9,244.1,306.8,222.5,6.26,10,33,6,NA
